name,url,last_day,last_month,last_week,updated_at
frozenlist,https://pypi.org/simple/frozenlist/,11479175,255104979,65372620,1769646230.2682347
yandexcloud,https://pypi.org/simple/yandexcloud/,3980090,253924077,23556272,1769762194.175142
greenlet,https://pypi.org/simple/greenlet/,10621439,253881663,64730524,1769650746.395526
propcache,https://pypi.org/simple/propcache/,11082077,253743214,66029130,1769713387.2335033
cachetools,https://pypi.org/simple/cachetools/,9129990,249158091,50520476,1769618284.8869703
rpds-py,https://pypi.org/simple/rpds-py/,10708717,248502199,64366834,1769731082.2407742
scipy,https://pypi.org/simple/scipy/,9122659,246990642,55572882,1769733684.0749285
aiosignal,https://pypi.org/simple/aiosignal/,11048105,246243628,63120284,1769606693.7749412
markdown-it-py,https://pypi.org/simple/markdown-it-py/,9849036,244610094,59217533,1769686862.8047173
referencing,https://pypi.org/simple/referencing/,10406513,243541465,62209677,1769728179.229602
psutil,https://pypi.org/simple/psutil/,9749677,243083852,59333416,1769713848.4354868
pyparsing,https://pypi.org/simple/pyparsing/,9646756,240719111,58694953,1769720441.944548
pillow,https://pypi.org/simple/pillow/,9886842,238314905,59499802,1769709944.7133343
jsonschema-specifications,https://pypi.org/simple/jsonschema-specifications/,10186739,237638451,60197111,1769659399.9157076
mdurl,https://pypi.org/simple/mdurl/,9530338,237162906,57080376,1769688365.3184388
opentelemetry-exporter-otlp,https://pypi.org/simple/opentelemetry-exporter-otlp/,3059534,236090057,25436309,1769705210.7110019
oauthlib,https://pypi.org/simple/oauthlib/,8894609,235737625,54529636,1769699133.989721
openpyxl,https://pypi.org/simple/openpyxl/,8097565,233379275,49742607,1769705089.5146701
et-xmlfile,https://pypi.org/simple/et-xmlfile/,8394863,232715571,49822588,1769640321.6616545
trove-classifiers,https://pypi.org/simple/trove-classifiers/,9191585,229956698,55514399,1769751855.501184
opentelemetry-exporter-otlp-proto-common,https://pypi.org/simple/opentelemetry-exporter-otlp-proto-common/,5208151,226332455,35554672,1769705211.1932232
starlette,https://pypi.org/simple/starlette/,9810897,226049545,55949918,1769742416.6124969
grpcio-tools,https://pypi.org/simple/grpcio-tools/,6918907,225466442,43382199,1769650990.481836
aiohappyeyeballs,https://pypi.org/simple/aiohappyeyeballs/,9950236,221003652,56879461,1769606515.1988692
uvicorn,https://pypi.org/simple/uvicorn/,9166270,217146345,52942577,1769755197.114415
tomlkit,https://pypi.org/simple/tomlkit/,9089681,213360520,53309001,1769750201.264235
google-genai,https://pypi.org/simple/google-genai/,4418520,213094601,26860997,1769649847.2460082
distlib,https://pypi.org/simple/distlib/,8865046,212324360,50347433,1769631434.1510208
tenacity,https://pypi.org/simple/tenacity/,9342052,209956464,52293939,1769746982.0691288
soupsieve,https://pypi.org/simple/soupsieve/,8190431,203441986,50039435,1769739915.7209404
fastapi,https://pypi.org/simple/fastapi/,8505665,202659738,51309299,1769642311.5166557
lxml,https://pypi.org/simple/lxml/,8095520,199140026,48282225,1769685743.0374126
beautifulsoup4,https://pypi.org/simple/beautifulsoup4/,8353012,197167563,48837433,1769614196.840941
websocket-client,https://pypi.org/simple/websocket-client/,7885036,193183397,46002224,1769758540.2858305
opentelemetry-semantic-conventions,https://pypi.org/simple/opentelemetry-semantic-conventions/,8939399,191579227,56538304,1769705275.1645617
sniffio,https://pypi.org/simple/sniffio/,8038665,191257206,48209796,1769739129.255267
requests-toolbelt,https://pypi.org/simple/requests-toolbelt/,8058255,183605408,46270169,1769728977.0411801
regex,https://pypi.org/simple/regex/,8020708,182713840,47267317,1769728282.8836734
opentelemetry-api,https://pypi.org/simple/opentelemetry-api/,7700111,176681379,44985428,1769705190.7012744
docutils,https://pypi.org/simple/docutils/,7236504,176662092,42324570,1769635885.9711611
shellingham,https://pypi.org/simple/shellingham/,7791704,176096135,45088491,1769736126.7237694
proto-plus,https://pypi.org/simple/proto-plus/,7229066,174036014,42637045,1769713482.4230063
sortedcontainers,https://pypi.org/simple/sortedcontainers/,7121543,173595175,43524393,1769739827.9059806
more-itertools,https://pypi.org/simple/more-itertools/,7781807,172153068,43563750,1769692089.7330747
exceptiongroup,https://pypi.org/simple/exceptiongroup/,7146909,171987762,41616750,1769641165.1888068
google-cloud-storage,https://pypi.org/simple/google-cloud-storage/,6752520,171671580,43005607,1769649813.4913278
psycopg2-binary,https://pypi.org/simple/psycopg2-binary/,6732056,170413404,42269129,1769713879.517496
mypy-extensions,https://pypi.org/simple/mypy-extensions/,7961829,169857673,45418589,1769694301.182994
isodate,https://pypi.org/simple/isodate/,6703548,165231038,40891430,1769657662.7638
decorator,https://pypi.org/simple/decorator/,6671080,163704618,41616836,1769677775.1334286
websockets,https://pypi.org/simple/websockets/,7595846,163265814,43308023,1769758551.2633233
networkx,https://pypi.org/simple/networkx/,6763413,156795023,40018528,1769696283.4362528
msgpack,https://pypi.org/simple/msgpack/,6795287,155585614,40532512,1769692913.5630608
huggingface-hub,https://pypi.org/simple/huggingface-hub/,6271651,151619840,38087444,1769654181.227984
scikit-learn,https://pypi.org/simple/scikit-learn/,5955824,151388190,36308526,1769733592.495951
coverage,https://pypi.org/simple/coverage/,7415574,149709726,38841950,1769625340.9000714
hatchling,https://pypi.org/simple/hatchling/,5929882,148909603,35483443,1769652082.315266
wcwidth,https://pypi.org/simple/wcwidth/,6645020,148887261,39964827,1769758184.8929982
azure-core,https://pypi.org/simple/azure-core/,6111776,146991193,36713064,1769612927.2950134
langchain,https://pypi.org/simple/langchain/,8671398,145544573,61210045,1769681574.009115
pexpect,https://pypi.org/simple/pexpect/,5147803,145106020,33229533,1769709191.805333
ptyprocess,https://pypi.org/simple/ptyprocess/,5131041,145086130,33069699,1769713990.434299
msal,https://pypi.org/simple/msal/,5684599,143616352,34897878,1769692685.6466668
bcrypt,https://pypi.org/simple/bcrypt/,5815514,140140177,33940929,1769614061.1792989
joblib,https://pypi.org/simple/joblib/,5898712,139487339,34731895,1769658857.6577234
poetry-core,https://pypi.org/simple/poetry-core/,5995489,138372339,37076015,1769711333.3346202
snowflake-connector-python,https://pypi.org/simple/snowflake-connector-python/,5102089,137909506,30783770,1769739236.754519
azure-identity,https://pypi.org/simple/azure-identity/,4620026,135794818,27861695,1769612952.0252452
python-multipart,https://pypi.org/simple/python-multipart/,5467179,134422198,33173504,1769723228.9202151
dnspython,https://pypi.org/simple/dnspython/,5708418,134412399,32652377,1769635570.7358303
threadpoolctl,https://pypi.org/simple/threadpoolctl/,5282701,133554952,32007957,1769748830.0042017
async-timeout,https://pypi.org/simple/async-timeout/,5538457,133239701,32171498,1769611049.524562
openai,https://pypi.org/simple/openai/,5919287,132954465,34713996,1769704604.5231137
distro,https://pypi.org/simple/distro/,6362188,132657935,34827939,1769631678.4626255
asn1crypto,https://pypi.org/simple/asn1crypto/,5205857,130250911,31915476,1769610680.16488
google-cloud-core,https://pypi.org/simple/google-cloud-core/,5353295,129825348,32892989,1769649786.5679803
tabulate,https://pypi.org/simple/tabulate/,5540080,129465262,32240642,1769745612.5361788
ruamel.yaml,https://pypi.org/simple/ruamel-yaml/,5662280,128264811,33413466,1769731438.8019316
smmap,https://pypi.org/simple/smmap/,4953908,126490240,29410692,1769738872.9904475
redis,https://pypi.org/simple/redis/,5266969,124942102,31385174,1769727986.294896
cloudpickle,https://pypi.org/simple/cloudpickle/,6213116,123481561,30059301,1769622334.9890234
paramiko,https://pypi.org/simple/paramiko/,4718609,122718620,28902410,1769707623.336737
itsdangerous,https://pypi.org/simple/itsdangerous/,5302575,121743459,30698250,1769657850.8665037
gitdb,https://pypi.org/simple/gitdb/,4957199,121531190,28946755,1769648935.9561598
matplotlib,https://pypi.org/simple/matplotlib/,5052549,120305044,30340901,1769687343.0592623
pydantic-settings,https://pypi.org/simple/pydantic-settings/,5414308,120025002,31732791,1769717529.4071348
prompt-toolkit,https://pypi.org/simple/prompt-toolkit/,5006950,117859419,30605109,1769713285.245942
keyring,https://pypi.org/simple/keyring/,5068218,116564112,28961686,1769660841.2220805
typer,https://pypi.org/simple/typer/,5017911,116184280,29740301,1769753093.0788035
fonttools,https://pypi.org/simple/fonttools/,5288177,115822634,30049573,1769645485.6178696
google-resumable-media,https://pypi.org/simple/google-resumable-media/,4781052,115601351,28809292,1769649857.2194364
alembic,https://pypi.org/simple/alembic/,4949185,114939087,28907224,1769607267.4075377
google-crc32c,https://pypi.org/simple/google-crc32c/,4815066,114559253,28798675,1769649831.1815698
pytest-asyncio,https://pypi.org/simple/pytest-asyncio/,4535600,114121950,26515630,1769722161.3635046
tzlocal,https://pypi.org/simple/tzlocal/,4767733,113780130,28511005,1769753475.7042177
chardet,https://pypi.org/simple/chardet/,4922518,113473553,28433666,1769620396.039211
ruff,https://pypi.org/simple/ruff/,5257491,113354195,30283144,1769731495.070333
annotated-doc,https://pypi.org/simple/annotated-doc/,4487908,113333028,26668825,1769608668.0733864
google-api-python-client,https://pypi.org/simple/google-api-python-client/,4367785,112652127,26370985,1769649751.1963873
jiter,https://pypi.org/simple/jiter/,4857522,112570026,28866784,1769658689.9429765
kubernetes,https://pypi.org/simple/kubernetes/,4109112,111834952,25199295,1769681056.880752
langsmith,https://pypi.org/simple/langsmith/,4170358,111831849,27021870,1769681769.064515
pyproject-hooks,https://pypi.org/simple/pyproject-hooks/,5046034,111518241,27889457,1769720830.2850764
blinker,https://pypi.org/simple/blinker/,5203073,111052979,28807510,1769615655.1051872
google-cloud-bigquery,https://pypi.org/simple/google-cloud-bigquery/,3854286,110677588,26036286,1769649784.1769755
kiwisolver,https://pypi.org/simple/kiwisolver/,4652870,110674433,27814965,1769661295.275935
opentelemetry-instrumentation,https://pypi.org/simple/opentelemetry-instrumentation/,5174337,109831108,31190123,1769705237.6048172
google-auth-oauthlib,https://pypi.org/simple/google-auth-oauthlib/,3939715,108925592,24401146,1769649768.9582877
nodeenv,https://pypi.org/simple/nodeenv/,4429542,108479771,25412566,1769697402.2576647
zstandard,https://pypi.org/simple/zstandard/,4885733,108365938,27753207,1769764098.6220047
dill,https://pypi.org/simple/dill/,4919766,106727183,26653165,1769631000.549642
jaraco.classes,https://pypi.org/simple/jaraco-classes/,4670551,106674713,26569085,1769658146.8218732
backoff,https://pypi.org/simple/backoff/,4598609,106280574,26641197,1769613259.7893589
pytest-cov,https://pypi.org/simple/pytest-cov/,4660139,105004470,26611821,1769772079.148398
setuptools-scm,https://pypi.org/simple/setuptools-scm/,3972566,104916053,24315029,1769735703.6738274
textual,https://pypi.org/simple/textual/,2156808,104807889,11152289,1769748229.07497
build,https://pypi.org/simple/build/,5238041,103921020,27662282,1769617502.332993
jeepney,https://pypi.org/simple/jeepney/,4602747,103893047,26081009,1769658384.7612038
msal-extensions,https://pypi.org/simple/msal-extensions/,4211363,103224321,25579465,1769692685.7321625
uritemplate,https://pypi.org/simple/uritemplate/,3987656,102745744,23991443,1769754761.7768748
types-requests,https://pypi.org/simple/types-requests/,5000339,102175956,26997107,1769753378.5112085
prometheus-client,https://pypi.org/simple/prometheus-client/,4473351,102121825,26471567,1769713229.3840609
google-auth-httplib2,https://pypi.org/simple/google-auth-httplib2/,3886462,101559884,23384483,1769649768.3115082
cycler,https://pypi.org/simple/cycler/,4449727,101521931,26075546,1769627256.6328013
httplib2,https://pypi.org/simple/httplib2/,4001507,101224571,23900486,1769654012.1025567
orjson,https://pypi.org/simple/orjson/,4639596,101051030,26749692,1769705923.7822063
defusedxml,https://pypi.org/simple/defusedxml/,4561765,100416569,26290349,1769629934.5398557
fastjsonschema,https://pypi.org/simple/fastjsonschema/,4707132,99841682,25861259,1769642649.213451
identify,https://pypi.org/simple/identify/,3804348,99036404,22525644,1769655041.7801769
cfgv,https://pypi.org/simple/cfgv/,3780794,98866427,22340293,1769676936.5542696
pre-commit,https://pypi.org/simple/pre-commit/,3895073,98588785,22407912,1769712371.0990043
azure-storage-blob,https://pypi.org/simple/azure-storage-blob/,4068061,97439752,24219178,1769613026.9958024
transformers,https://pypi.org/simple/transformers/,4030456,96819764,23295045,1769751368.0720634
jaraco.context,https://pypi.org/simple/jaraco-context/,4101287,96772729,23573632,1769658147.0419486
jaraco.functools,https://pypi.org/simple/jaraco-functools/,4169395,96698349,23502943,1769658147.489345
contourpy,https://pypi.org/simple/contourpy/,4310827,96075152,24604156,1769624714.5816083
marshmallow,https://pypi.org/simple/marshmallow/,4121900,95648561,23037298,1769686991.51112
sympy,https://pypi.org/simple/sympy/,3945331,94425547,22730754,1769745021.026068
tokenizers,https://pypi.org/simple/tokenizers/,3828587,93424424,22596792,1769770634.4969318
sqlparse,https://pypi.org/simple/sqlparse/,3944835,93257390,23179931,1769741665.1688557
ipython,https://pypi.org/simple/ipython/,3646782,92589262,23606498,1769657357.187989
